row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73255_16,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",16.0,19.2,2.40,slot,true,3233429.69,178,23431.99,186,2.17,186,28.43,186,405.56,186,1490.45,186,655.26,186,1.91,186,0,186,0.24,178,0.49,186,1.06,186,107788.27,186,1,48,4.43,186,2.29,186
73255_16,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",16.0,19.2,2.40,slot,false,1101018.20,476,8150.41,505,,,24.85,505,325.53,505,2526.49,505,682.58,505,1.55,505,,,0.27,476,,,1.07,505,48988.60,505,,,,,3.52,505
73255_18,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",18.0,21.6,5.00,mw,true,3282783.89,359,19987.82,374,1.68,374,29.53,374,384.40,374,1478.34,374,646.92,374,1.50,374,0,374,0.25,359,0.60,374,1.05,374,127130.07,374,1,60,4.45,374,2.29,374
73255_18,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",18.0,21.6,5.00,mw,false,1146151.86,909,10268.27,980,,,21.96,980,267.21,980,3026.59,980,779.64,980,1.38,980,,,0.29,909,,,1.08,980,60602.57,980,,,,,3.63,980
73255_18,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",18.0,21.6,2.40,slot,true,4388049.63,175,28031.43,180,1.72,180,31.62,180,370.46,180,1476.26,180,649.65,180,1.45,180,0,180,0.24,175,0.35,180,1.02,180,187898.40,180,1,30,4.56,180,2.28,180
73255_18,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",18.0,21.6,2.40,slot,false,1281554.51,444,14091.53,477,,,22.64,477,260.39,477,3182.13,477,794.70,477,1.36,477,,,0.29,444,,,1.09,477,85823.19,477,,,,,3.73,477
73255_20,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",20.0,24.0,5.00,mw,true,3398870.51,302,27182.71,316,1.57,316,29.80,316,385.52,316,1561.99,316,656.32,316,1.20,316,0,316,0.26,302,0.52,316,1.08,316,163558.52,316,1.09,64,4.51,316,2.39,316
73255_20,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",20.0,24.0,5.00,mw,false,923337.23,827,8791.56,910,,,23.87,910,222.94,910,3087.39,910,831.19,910,1.23,910,,,0.30,827,,,1.06,910,54775.26,910,,,,,3.46,910
73255_20,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",20.0,24.0,2.40,slot,true,2756191.88,140,26551.32,148,1.07,148,23.74,148,402.70,148,1589.31,148,657.02,148,0.95,148,0,148,0.27,140,0.58,148,1.11,148,128574.47,148,1.06,33,4.45,148,2.43,148
73255_20,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",20.0,24.0,2.40,slot,false,710352.31,382,3332.20,429,,,20.97,429,203.78,429,3235.43,429,840.51,429,1.03,429,,,0.31,382,,,1.05,429,23290.59,429,,,,,3.56,429
73255_22,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",22.0,26.4,5.00,mw,true,2902829.09,263,27390.71,277,1.49,277,31.39,277,399.68,277,1578.26,277,661.41,277,1.26,277,0,277,0.27,263,0.45,277,1.07,277,157376.37,277,1.14,58,4.52,277,2.40,277
73255_22,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",22.0,26.4,5.00,mw,false,980791.99,860,9844.46,940,,,24.19,940,226.85,940,2755.78,940,805.35,940,1.20,940,,,0.29,860,,,1.04,940,41137.51,940,,,,,3.25,940
73255_22,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",22.0,26.4,2.40,slot,true,2626549,139,20040.25,149,1.51,149,30.92,149,401.46,149,1582.48,149,671.87,149,1.34,149,0,149,0.26,139,0.42,149,1.04,149,149050.27,149,1.23,26,4.60,149,2.38,149
73255_22,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",22.0,26.4,2.40,slot,false,1254103.40,400,8605.95,439,,,25.61,439,247.96,439,2619.98,439,805.93,439,1.34,439,,,0.28,400,,,1.05,439,50587.88,439,,,,,3.08,439
73255_24,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",24.0,28.8,5.00,mw,true,2215268.48,283,20758.21,294,1.62,294,34.20,294,412.30,294,1548.96,294,677.43,294,1.32,294,0,294,0.26,283,0.61,294,1.06,294,132955.44,294,1.05,42,4.48,294,2.31,294
73255_24,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",24.0,28.8,5.00,mw,false,1028781.57,855,11943.86,926,,,26.43,926,240.03,926,2433.90,926,770.71,926,1.18,926,,,0.29,855,,,1.04,926,43479.66,926,,,,,3.06,926
73255_24,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",24.0,28.8,2.40,slot,true,1645256.84,126,15224.73,129,2.04,129,33.21,129,394.45,129,1551.30,129,669.55,129,1.46,129,0,129,0.27,126,0.41,129,1.03,129,87861.45,129,1,17,4.30,129,2.33,129
73255_24,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",24.0,28.8,2.40,slot,false,729974.91,429,10814.05,461,,,26.39,461,228.32,461,2488.52,461,786.26,461,1.27,461,,,0.29,429,,,1.03,461,28194.36,461,,,,,3.10,461
73255_26,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",26.0,31.2,5.00,mw,true,1735583.14,230,15156.41,251,1.22,251,36.77,251,406.37,251,1586.55,251,698.82,251,1.24,251,0,251,0.25,230,0.65,251,1.07,251,95494.62,251,1,31,4.44,251,2.29,251
73255_26,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",26.0,31.2,5.00,mw,false,687030.16,840,10130.76,938,,,26.42,938,229.65,938,2555.07,938,781.66,938,1.16,938,,,0.30,840,,,1.05,938,28572.57,938,,,,,3.16,938
73255_26,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",26.0,31.2,2.40,slot,true,1584585.43,109,17520.72,119,0.81,119,38.67,119,428.16,119,1595.39,119,692.36,119,1.22,119,0,119,0.25,109,0.53,119,1.13,119,101078.35,119,1,15,4.49,119,2.35,119
73255_26,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",26.0,31.2,2.40,slot,false,853998.89,397,18721.10,443,,,28.17,443,247.22,443,2428.26,443,756.03,443,1.00,443,,,0.30,397,,,1.06,443,45375.24,443,,,,,3.12,443
73255_28,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",28.0,33.6,5.00,mw,true,2350630.90,214,15302.05,246,1.35,246,34.03,246,407.85,246,1592.96,246,694.48,246,1.36,246,0,246,0.25,214,0.99,246,1.04,246,108934.31,246,1,48,4.48,246,2.30,246
73255_28,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",28.0,33.6,5.00,mw,false,900217.42,893,9606.76,984,,,27.43,984,233.56,984,2570.73,984,789.07,984,1.27,984,,,0.29,893,,,1.05,984,26199.51,984,,,,,3.13,984
73255_28,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",28.0,33.6,2.40,slot,true,2419758.87,89,8170.56,107,1.31,107,30.86,107,413.12,107,1582.57,107,705.53,107,1.39,107,0,107,0.24,89,1.25,107,1,107,64981,107,1,24,4.58,107,2.24,107
73255_28,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",28.0,33.6,2.40,slot,false,761242.71,441,2847.51,483,,,26.19,483,221.10,483,2643.80,483,811.42,483,1.37,483,,,0.28,441,,,1.04,483,13222.85,483,,,,,3.15,483
73255_30,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",30.0,36.0,5.00,mw,true,3266578.84,228,24496.49,253,1.27,253,34.07,253,402.37,253,1645.13,253,702.08,253,1.44,253,0,253,0.26,228,0.88,253,1.06,253,175465.02,253,1,62,4.47,253,2.34,253
73255_30,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",30.0,36.0,5.00,mw,false,1054325.94,879,7153.85,947,,,26.02,947,240.26,947,2826.49,947,805.23,947,1.30,947,,,0.29,879,,,1.07,947,26251.23,947,,,,,3.32,947
73255_30,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",30.0,36.0,2.40,slot,true,3315228.80,133,20213.66,142,1.33,142,35.91,142,396.28,142,1623.56,142,692.38,142,1.56,142,0,142,0.26,133,0.61,142,1.08,142,169797.80,142,1,36,4.26,142,2.35,142
73255_30,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",30.0,36.0,2.40,slot,false,1073728.35,384,4205.51,428,,,25.42,428,257.33,428,2776.03,428,778.29,428,1.38,428,,,0.29,384,,,1.08,428,26315.33,428,,,,,3.31,428
73255_32,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",32.0,38.4,5.00,mw,true,4499673.31,232,44322.71,245,1.10,245,32.70,245,375.03,245,1723.17,245,721.59,245,1.22,245,0,245,0.28,232,0.33,245,1.07,245,303531.69,245,1,64,4.73,245,2.40,245
73255_32,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",32.0,38.4,5.00,mw,false,985646.47,843,16605.87,925,,,25.34,925,216.31,925,2927.27,925,809.28,925,0.99,925,,,0.30,843,,,1.08,925,42522.92,925,,,,,3.41,925
73255_32,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",32.0,38.4,2.40,slot,true,4265302.50,110,37956.45,119,0.95,119,27.21,119,355.49,119,1678.54,119,715.09,119,0.85,119,0,119,0.27,110,0.41,119,1.03,119,215437.58,119,1,27,4.88,119,2.37,119
73255_32,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",32.0,38.4,2.40,slot,false,1231693.79,434,30443.40,462,,,23.12,462,218.24,462,2899.97,462,803.93,462,0.94,462,,,0.29,434,,,1.06,462,63986.65,462,,,,,3.40,462
73255_34,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",34.0,40.8,5.00,mw,true,3577154.21,239,49198.72,274,0.85,274,32.11,274,372.82,274,1857.67,274,768.40,274,1.07,274,0,274,0.28,239,0.48,274,1.04,274,272526.28,274,1,65,4.79,274,2.44,274
73255_34,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",34.0,40.8,5.00,mw,false,761055.96,840,15676.10,921,,,26.74,921,222.90,921,2660.81,921,789.88,921,0.99,921,,,0.31,840,,,1.06,921,37901.88,921,,,,,3.18,921
73255_34,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",34.0,40.8,2.40,slot,true,5330274.09,84,109981.00,97,0.61,97,42.80,97,379.02,97,1975.88,97,814.75,97,1.13,97,0,97,0.31,84,0.34,97,1.08,97,616295.99,97,1,30,4.79,97,2.44,97
73255_34,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",34.0,40.8,2.40,slot,false,612086.54,426,1843.76,475,,,31.10,475,211.17,475,2605.07,475,793.53,475,0.94,475,,,0.31,426,,,1.06,475,16496.13,475,,,,,3.12,475
73255_36,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",36.0,43.2,5.00,mw,true,1378142.78,246,30426.17,288,0.83,288,31.94,288,388.10,288,2031.60,288,811.55,288,1.27,288,0,288,0.28,246,0.76,288,1.06,288,145414.70,288,1,69,4.64,288,2.52,288
73255_36,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",36.0,43.2,5.00,mw,false,478898.97,773,3267.30,859,,,28.11,859,237.08,859,2550.86,859,779.34,859,1.34,859,,,0.30,773,,,1.04,859,18692.26,859,,,,,3.11,859
73255_36,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",36.0,43.2,2.40,slot,true,927278.04,121,11236.72,149,0.81,149,27.97,149,391.64,149,2002.14,149,799.45,149,1.20,149,0,149,0.27,121,0.96,149,1.04,149,62946.52,149,1,30,4.74,149,2.52,149
73255_36,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",36.0,43.2,2.40,slot,false,364049.03,364,932.27,399,,,24.47,399,226.38,399,2667.24,399,791.52,399,1.41,399,,,0.29,364,,,1.05,399,9326.59,399,,,,,3.18,399
73255_38,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",38.0,45.6,5.00,mw,true,1254270.54,259,11628.36,286,1.15,286,29.55,286,394.80,286,1989.37,286,797.98,286,1.46,286,0,286,0.29,259,0.72,286,1.06,286,68176.45,286,1,55,4.55,286,2.50,286
73255_38,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",38.0,45.6,5.00,mw,false,524405.86,804,3269.64,882,,,26.64,882,233.49,882,2493.80,882,786.34,882,1.45,882,,,0.30,804,,,1.02,882,17100.61,882,,,,,3.07,882
73255_38,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",38.0,45.6,2.40,slot,true,1399406.87,146,13264.12,153,1.17,153,30.79,153,398.78,153,2035.53,153,805.21,153,1.57,153,0,153,0.30,146,0.72,153,1.05,153,74359.42,153,1,31,4.36,153,2.54,153
73255_38,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",38.0,45.6,2.40,slot,false,619516.70,370,5830.36,405,,,27.73,405,258.60,405,2410.73,405,753.21,405,1.39,405,,,0.30,370,,,1.02,405,26451.91,405,,,,,3.11,405
73255_40,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",40.0,48.0,5.00,mw,true,1370107.81,275,12696.82,303,1.09,303,31.73,303,385.23,303,1909.32,303,786.37,303,1.58,303,0,303,0.28,275,0.53,303,1.03,303,78323.77,303,1,59,4.61,303,2.45,303
73255_40,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",40.0,48.0,5.00,mw,false,640198.25,804,1795.44,885,,,25.20,885,232.82,885,2475.16,885,816.29,885,1.46,885,,,0.30,804,,,1.04,885,14512.50,885,,,,,2.99,885
73255_40,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",40.0,48.0,2.40,slot,true,1190846.02,114,9720.53,132,0.91,132,32.64,132,366.28,132,1833.34,132,766.64,132,1.61,132,0,132,0.28,114,0.26,132,1.04,132,57465.77,132,1,20,4.72,132,2.42,132
73255_40,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",40.0,48.0,2.40,slot,false,553556.51,386,1136.84,437,,,23.65,437,212.87,437,2612.77,437,866.86,437,1.35,437,,,0.31,386,,,1.04,437,9185.67,437,,,,,2.97,437
73255_42,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",42.0,50.4,5.00,mw,true,1597245.20,253,17204.88,284,0.97,284,32.98,284,378.62,284,2071.38,284,821.49,284,1.40,284,0,284,0.28,253,0.40,284,1.06,284,121061.51,284,1,82,4.55,284,2.54,284
73255_42,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",42.0,50.4,5.00,mw,false,886105.73,794,2903.76,894,,,25.45,894,223.00,894,2429.96,894,817.68,894,1.41,894,,,0.30,794,,,1.06,894,20342.15,894,,,,,2.94,894
73255_42,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",42.0,50.4,2.40,slot,true,1526501.48,138,14375.68,153,1.10,153,30.25,153,396.79,153,2108.13,153,824.47,153,1.42,153,0,153,0.26,138,0.62,153,1.04,153,108659.37,153,1,48,4.58,153,2.58,153
