row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_70,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",70.0,77.0,5.00,mw,true,1724138.83,190,6806.09,212,0.59,212,33.45,212,457.46,212,2383.03,212,882.04,212,1.85,212,0,212,0.32,190,-1.62,212,1.08,212,64125.58,212,1.11,19,5.00,212,2.75,212
71687_70,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",70.0,77.0,5.00,mw,false,371210.31,693,916.98,827,,,26.05,827,253.26,827,2685.45,827,830.80,827,1.98,827,,,0.32,693,,,1.05,827,8881.37,827,,,,,3.24,827
71687_70,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",70.0,77.0,2.20,slot,true,1477597.12,79,6081.86,87,0.92,87,41.97,87,376.52,87,2341.38,87,911.52,87,1.85,87,0,87,0.32,79,-1.36,87,1.01,87,64204.49,87,1,9,4.89,87,2.60,87
71687_70,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",70.0,77.0,2.20,slot,false,346394.32,331,702.29,386,,,25.69,386,242.75,386,2863.01,386,864.71,386,1.84,386,,,0.34,331,,,1.04,386,8321.09,386,,,,,3.31,386
71687_72,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",72.0,79.2,5.00,mw,true,759369.87,195,4146.70,229,0.70,229,26.63,229,481.68,229,2419.18,229,873.14,229,2.03,229,0,229,0.34,195,-1.69,229,1.07,229,37221.33,229,1,25,4.84,229,2.81,229
71687_72,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",72.0,79.2,5.00,mw,false,298478.78,672,769.75,788,,,25.15,788,252.08,788,2680.65,788,829.35,788,2.01,788,,,0.32,672,,,1.04,788,6397.43,788,,,,,3.23,788
71687_72,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",72.0,79.2,2.20,slot,true,1019027.42,85,4048.13,106,0.56,106,25.18,106,521.67,106,2346.30,106,844.96,106,2.13,106,0,106,0.35,85,-1.65,106,1.07,106,35933.99,106,1,2,5.02,106,2.82,106
71687_72,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",72.0,79.2,2.20,slot,false,273100.71,293,889.06,354,,,28.18,354,238.43,354,2635.21,354,828.90,354,2.14,354,,,0.32,293,,,1.04,354,5475.66,354,,,,,3.20,354
71687_74,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",74.0,81.4,5.00,mw,true,1006920.56,136,4420.58,173,1.38,173,28.22,173,469.22,173,2323.62,173,844.89,173,2.09,173,0,173,0.33,136,-2.15,173,1.08,173,33351.68,173,1.06,36,4.58,173,2.79,173
71687_74,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",74.0,81.4,5.00,mw,false,258103.61,739,791.40,849,,,24.98,849,212.79,849,3081.81,849,859.76,849,1.88,849,,,0.31,739,,,1.05,849,4944.20,849,,,,,3.55,849
