"","id105599700","id105615807","id105616993","id105620706","id105622773","id105626195","id105626405","id105628430","id105630746","id105652140","frag.groups"
"292.13",16.29,14.9,16.7,14.7,17.05,0,15.86,16.31,14.58,15.29,1
"293.123",0,0,0,0,2.77,0,0,1.18,0,1.39,2
"295.112",1.15,0,0,1.01,0,2.08,0,7.01,0,0,2
"296.113",0,0,0,0,0,0,0,1.96,0,0,2
"297.154",0,0,0,0,1.64,0,0,0,0,0,2
"298.129",0,0,0,0,0,0,0,0,4.36,0,2
"301.446",0,0,0,0,0,0,0.99,0,0,0,1
"310.67",0,0,0,0,1.41,0,0,0,0,0,2
"311.174",0,0,0,0,1.78,0,0,0,0,1.87,1
"311.294",0,0,1.68,0,0,0,0,0,0,0,1
"312.12",0,0,0,1.6,0,0,1.86,0,0,0,1
"313.072",0.78,0,0,0,0,0,0,0.85,0,0,2
"315.979",0,0,0,0,0,0,0,0,0,1.04,1
"322.128",0,0,0,0,0,0,0,0,2.29,0,2
"325.122",0,0,0,0,0,0,0,0,6.3,0,2
"326.125",0,0,0,0,0,0,0,0,10.93,0,2
"326.207",0.9,0,0,0,0,0,0,0,0,0,1
"330.109",3.13,2.34,2.71,1.97,0,2.69,2.84,2.45,0,0,1
"331.103",0,0,0,0,1.45,0,0,0,0,0,2
"343.174",1.54,1.64,0,0,2.24,0,0,0.87,0,0,2
"348.122",2.83,2.57,2.38,3.15,2.24,4.17,2.66,3.39,0,2.58,1
"349.759",0.74,0,0,0,0,0,0,0,0,0,1
"352.232",1.2,0,0,0,0,0,0,0,0,0,1
"353.144",0,0,0,0,0,0,0,0.81,0,0,2
"353.196",0,0,0,0,0,0,0,0.83,0,0,2
"354.168",0,0,0,0,2.44,0,0,1.28,4.08,0,2
"355.128",0,0,0,0,1.72,0,0,0,0,0,2
"356.64",0,0,0,0,0,0,1.04,0,0,0,1
"356.71",0,0,0,0,0,0,0.93,0,0,0,1
"358.271",0,0,0,0,0,1.03,0,0,0,0,1
"358.598",0,0,0,0,0,0,0,0,2.44,0,2
"359.154",0,0,0,0,0,0,0,0.93,0,0,2
"360.225",0,0,0,0,9.13,0,1.54,4.59,7.53,0,2
"361.154",0,0,0,0,3.38,0,0,0,0,0,2
"365.185",0,0,0,0,0,0,0,0.9,0,0,2
"367.197",0,0,0,0,2.28,0,0,0,0,0,2
"370.245",5.52,4.99,5.38,4.83,4.05,6.66,5.42,5.19,3.73,0,1
"370.348",0,0,0,0.85,0,0,0,0,0,0,1
"371.228",7.48,5.75,6.66,7.62,5.66,11.78,6.6,7.78,5.04,7.13,1
"372.163",0,0,0,0,2.76,0,0,0,2.78,0,2
"373.404",0,1.11,0,0,0,0,0,0,0,0,1
"375.17",0,0,0,0,4.05,0,0,1.67,3.99,0,2
"381.139",1.36,0,0,1.77,0,2.02,0,0,0,0,1
"382.143",4.03,4.79,6.66,5.03,4.51,6.81,4.18,5.23,5.94,5,1
"383.286",0,0,0,0,0,0,0,0,2.63,0,2
"386.79",0,0,0,0,0,0,0,0,2.2,0,2
"388.203",0,0,0,0,0,0,1.15,1.13,0,0,1
"388.256",8.13,0,7.95,7.45,4.62,9.19,7.01,6.77,5.91,8.02,1
"390.706",0,0,0,0,0,0,1.04,0,0,0,1
"391.161",1.39,0,0,0,0,0,1.17,0,0,0,1
"394.563",0,0,0,0,0,0,0,0,2.44,0,2
"398.223",0,0,0,0,0,0,0,1.36,0,0,2
"398.716",0,0,0,0,1.36,0,0,0,3.03,0,2
"399.172",1.74,2.48,0,2.23,0,0,1.5,2.54,0,1.41,1
"400.319",0,0,0,0,0,1,0,0,0,0,1
"401.149",2.3,3,1.99,2.55,2.02,3.94,2.01,2.59,0,3.16,1
"402.16",0,0,0,0,0,0,0,0,0,1.11,1
"403.164",0,0,0,0,9.04,0,0,3.9,6.64,0,2
"405.214",0.99,0,0,1.64,2,0,2.41,1.74,0,0,1
"406.16",0,0,0,0,0,0,0,0,2.8,0,2
"410.257",0,0,0,0,0,0,0,0,0,1.06,1
"411.231",0.79,0,0,0,0,0,0,0,0,0,1
"413.87",0,0,1.88,0,0,0,0,0,0,0,1
"416.226",0,0,0,0,0,0,0,23.81,0,0,2
"416.74",0.91,0,0,0,0,0,0,0,0,0,1
"417.229",0,0,0,0,0,0,0,8.57,0,0,2
"418.105",0,0,0,0,1.4,0,0,0,0,0,2
"418.239",0,0,0,0,0,0,0,1.14,0,0,2
"419.159",3.41,2.49,3.15,2.17,0,3.81,3.53,2.51,0,2.06,1
"421.177",0,0,0,0,1.99,0,0,0,0,0,2
"423.169",4.92,4.1,3.6,4.85,2.99,6.87,4.45,3.12,3.64,4.23,1
"430.221",0,0,0,0,4.33,0,0,0,3.38,0,2
"430.72",0,0,0,0,0,0,0,1.26,0,0,2
"431.867",0.87,0,3.64,0,0,0,0,0,0,0,1
"432.112",0,0,0,0,0,0,0,0.9,0,0,2
"436.184",0,0,0,0.88,0,0,0,0,0,0,1
"441.092",0,1.19,0,0,0,0,0,0,0,0,1
"442.653",0,0,0,0,1.28,0,0,0,0,0,2
"443.205",0.88,0,0,0,0,0,0,0,0,0,1
"443.264",0,0,0,0,5.69,0,0,2.67,5.35,0,2
"445.489",0,0,0,0,0,0,1.25,0,0,0,1
"445.626",0,0,0,0,0,0,0,0,2.19,0,2
"447.179",0,0,0,0,0,0,0,0,2.41,0,2
"448.081",0,0,0,0,0,0,0,0,2.21,0,2
"453.178",0,0,0,0,0,0,0,1.56,0,0,2
"456.653",0,0,0,0,0,1.11,0,0,0,0,1
"456.936",0,0,0,0,0,0,0,0,0,1.11,1
"459.245",0,0,0,0,1.93,0,0,0,0,0,2
"462.175",0,0,0,0,0,0,1.03,0,0,0,1
"465.182",1.25,0,0,1.49,0,1.65,0,1.12,0,1.49,1
"470.755",0,0,0,0,0,0,1.07,0,0,0,1
"473.344",0,0,0,0,1.4,0,0,0,0,0,2
"475.264",0,0,0,0,9.57,0,5.49,0,0,0,2
"476.253",0,0,0,0,0,0,1.3,0,0,0,1
"483.193",0,0,0,0,2.46,0,1.44,0,0,0,2
"486.266",0,0,0,0,0,0,0,4.17,0,0,2
"492.199",0,0,0,0,0,0,1.43,0,0,0,1
"493.176",1.72,0,0,2.55,0,2.31,1.94,0,0,1.78,1
"500.435",0,0,0,0,0,0,0,0,2.32,0,2
"500.991",0,0,0,0,0,0,0,0.85,0,0,2
"501.206",0,0,0,0,0,0,0,1.54,2.98,0,2
"507.261",0,1.56,0,0,11.63,0,0,6.09,11.28,0,2
"508.249",0,0,0,0,1.89,0,0,0,0,0,2
"510.202",4.81,5.36,5.96,6.01,4.36,7.89,5.27,6.07,4.35,6.78,1
"510.292",0,0,0,0,0,0,0,0,2.46,0,2
"511.182",1.44,1.58,0,1.87,1.88,2.53,1.53,1.75,0,1.82,1
"512.18",1.04,0,0,1.33,0,0,0,1.28,0,1.22,1
"513.119",0,0,0,0,0,0,0,0,0,1.15,1
"516.282",0,0,0,1.44,0,0,0,1.28,0,0,1
"517.223",0,0,0,0,0,1.14,0,0,0,0,1
"527.11",0,0,0,0.74,0,0,0,0,0,0,1
"527.239",0,0,0,0,0,0,0,0,0,1.32,1
"527.32",0,0,1.47,0,0,0,0,0,0,0,1
"528.206",1.01,0,0,0.7,0,0,0,0,0,0,1
"530.2",0,0,0,0,0,1.26,0,1.36,0,0,2
"532.207",0,0,0,0,2.09,0,0,0,0,0,2
"534.555",0,1.03,0,0,0,0,0,0,0,0,1
"545.528",0,0,1.61,0,0,0,0,0,0,0,1
"549.621",0,0,0,0,0,0,0,0,2.23,0,2
"550.293",0,0,0,0,1.69,0,0,0,0,0,2
"551.319",12.93,12.49,12.24,13.29,11.7,17.1,13.12,10.44,11.12,13.16,1
"552.322",0,2.09,2.13,1.61,1.62,1.73,1.53,1.95,0,0,1
"554.229",2.05,2.65,2.78,2.69,0,2.25,1.43,2.05,2.47,0,1
"556.346",0,0,0,0,5.69,0,1.57,4.11,4.77,0,2
"557.248",0,0,0,0.85,0,0,0,0,0,0,1
"557.345",0,0,0,0,0,0,0,1.61,0,0,2
"561.978",0,0,1.66,0,0,0,0,0,0,0,1
"564.204",0,0,0,1.07,0,0,0,0,0,1.29,1
"567.794",0,0,0,0,1.77,0,0,0,0,0,2
"570.227",0,0,0,0.8,0,0,0,0,0,0,1
"572.345",0,0,0,0,0,0,0,0,0,3.2,1
"574.337",0,1.42,0,0,0,0,0,0,0,0,1
"577.646",0,0,0,0,0,0,0,0,0,0.92,1
"582.222",2.33,2.62,3.55,2.65,0,3.76,2.95,1.97,0,2.15,1
"585.312",0.74,0,0,0,4.43,0,0,0,11.69,4.36,2
"585.376",1.43,2.96,0,0,0,0,0,0,0,0,1
"586.297",0,0,0,0,2.2,0,0,0,0,0,2
"590.19",0,0,0,0,0,0,1.07,0,0,0,1
"590.279",0,0,0,0,0,0,2.53,0,0,0,1
"593.425",0,0,0,0,0,1.23,0,0,0,0,1
"597.371",0,0,0,0,0,0,0,1.18,0,0,2
"599.255",0,0,0,0,0,0,0,1.68,0,0,2
"600.798",0,0,0,0,0,0,0,0.89,0,0,2
"602.949",0,0,2.32,0,0,0,0,0,0,0,1
"604.307",0,0,0,0,7.41,0,4.86,0,0,0,2
"605.968",0,0,0,0,0,1.3,0,0,0,0,1
"613.488",0,0,1.55,0,0,0,0,0,0,0,1
"614.227",0,0,0,0,0,0,0.89,0,0,0,1
"620.345",0,0,0,0,10.41,0,0,4.24,6.7,0,2
"621.239",0,0,2.32,0,0,0,0,0,0,1.49,1
"623.276",0,0,0,1.29,0,0,0,0,0,0,1
"632.304",0,0,0,0,0,0,0,3.88,0,0,2
"633.325",0,0,0,0,1.98,0,0,2.33,0,0,2
"634.316",0,0,0,0,0,0,0,0.99,0,0,2
"639.237",1.46,0,0,1.4,0,1.47,1.99,1.26,0,1.95,1
"650.307",0,0,0,0,0,0,0,1.14,0,0,2
"660.461",0,0,0,0.74,0,0,0,0,0,0,1
"662.58",0,0,0,0,0,0,0,0,0,2.46,1
"662.721",0,0,0,0,0,0,0,0,0,2.72,1
"662.84",0,0,0,1.12,0,0,0,1.4,0,2.21,1
"662.987",0,0,0,3.37,0,0,1.58,0,0,0,1
"663.098",0,0,0,0,0,0,1.84,0.89,2.74,0,2
"663.22",0,0,0,0,0,0,2.36,0,0,0,1
"663.334",0,0,6.9,0,0,0,1.72,2.01,0,0,1
"663.342",0,0,6.9,0,0,0,1.72,2.01,0,0,1
"663.452",0,0,0,0,0,0,0,0,9.99,0,2
"663.562",0.97,4.72,0,0,1.96,0,0,1.88,0,0,1
"663.672",0,1.27,0,0,2.38,0,0,1.29,0,0,2
"663.744",0,0,0,0,0,4.97,0,0,0,0,1
"663.842",2.71,0,0,0,3.83,0,0,0,0,0,2
"665.3",0,0,0,0,0,0,1.05,0,0,0,1
"666.671",0.72,0,0,0,0,0,0,0,0,0,1
"666.782",0.81,0,0,0,0,0,0,0,0,0,1
"667.378",0,0,0,0,1.64,0,0,0,0,0,2
"674.379",0,0,0,0,0,0,1.1,0,0,0,1
"675.334",0,0,0,0,3.31,0,0,0,0,0,2
"677.301",0,0,0,0,0,0,2.29,0,0,0,1
"682.363",4.58,5.83,5.27,5.74,3.76,7.06,5.28,4.88,3.59,6.48,1
"683.356",0,0,0,1.29,0,0,0,0,0,0,1
"685.39",0,0,0,0,7.81,0,0,3.7,7.8,0,2
"688.765",0,1.2,0,0,0,0,0,0,0,0,1
"690.653",0,0,0,0,0,0,0,0,0,1.07,1
"692.269",1.04,0,0,1.14,0,0,0,0,0,0,1
"695.781",0,0,1.65,0,0,0,0,0,0,0,1
"710.281",1.94,0,0,1.94,0,3.1,2.18,1.5,0,2.04,1
"711.459",0,0,0,0,0,0,0,0,2.46,0,2
"731.386",0,0,0,0,2.33,0,0,0,0,0,2
"733.352",0,0,0,0,3.45,0,1.37,0,0,0,2
"742.204",0,1.32,0,0,0,0,0,0,0,0,1
"744.067",0,0,0,0,0,0,1.15,0,0,0,1
"745.296",0,0,0,0,1.73,0,0,0,0,0,2
"749.39",0,1.43,0,0,8.37,0,0,4.42,10.6,0,2
"750.391",0,0,0,0,2.6,0,0,0,0,0,2
"758.587",0,0,0,0,0,0,0,0,2.94,0,2
"761.343",0,0,0,0,0,0,0,4.88,0,0,2
"762.345",0,0,0,0,0,0,0,4.16,0,0,2
"767.713",0,0,0,0,0,0,0,0,0,1.07,1
"769.391",17.15,17.32,13.17,16.05,0,20.67,17.53,12.94,17.83,18.51,1
"770.22",0,0,0,0.78,0,0,0,0,0,0,1
"770.393",1.98,2.99,3.94,2.98,2.87,3.69,2.41,3.77,0,0,1
"773.662",0,0,0,0,1.76,0,0,0,0,0,2
"777.377",0,0,0,0,0,0,0,0,0,1.13,1
"779.369",0,1.95,0,0,0,0,0,0,0,0,1
"791.441",0,0,0,0,0,0,0,0,4.01,0,2
"796.42",0,0,0,0,8.81,0,0,3.27,8.23,0,2
"802.689",0,0,0,0,0,0,0,0,0,1.16,1
"803.797",0.89,0,0,0,0,0,0,0,0,0,1
"806.349",0,0,0,0,2.62,0,1.77,0,0,0,2
"808.265",0,0,0,0,0,0,1.21,0,0,0,1
"813.455",0,0,0,0,4.65,0,0,3.25,4.83,0,2
"818.139",0.95,0,0,0,0,0,0,0,0,0,1
"819.727",0,0,0,0,0,0,0,0,0,1.55,1
"820.379",0,0,0,0,4.75,0,2.73,0,0,0,2
"821.366",0,0,0,0,2.39,0,0,0,0,0,2
"823.362",0,0,0,0,2.74,0,1.21,0.96,2.81,0,2
"823.599",0,0,0,0,0,0,0,0,2.88,0,2
"825.696",0,1.25,0,0,0,0,0,0,0,0,1
"838.407",0,0,0,0,2.08,0,0,0,0,0,2
"839.754",0,0,1.75,0,0,0,0,0,0,0,1
"843.815",0,0,0,0,0,0,0,0,0,1.19,1
"845.571",0,0,1.76,0,0,0,0,0,0,0,1
"848.437",0,0,0,0,2.01,0,0,0,0,0,2
"849.451",0,0,0,0,0,0,0,0.86,0,0,2
"849.85",0,0,1.6,0,0,0,0,0,0,0,1
"859.44",0,0,0,0,2.92,0,0,0,0,0,2
"860.419",0,0,0,0,5.71,0,0,3.41,0,0,2
"861.431",0,0,0,0,3.34,0,0,0,0,0,2
"864.64",0,0,0,1.07,0,0,0,0,0,0,1
"865.415",0,0,1.69,0,0,0,0,0,0,0,1
"868.036",0,1.5,0,0,0,0,0,0,0,0,1
"874.43",0,0,0,0,0,0,0,6.06,0,0,2
"875.435",0,0,0,0,0,0,0,6.42,0,0,2
"876.437",0,0,0,0,0,0,0,1.42,0,0,2
"877.456",0,0,0,0,2.81,0,0,2.04,4.78,0,2
"878.446",0,0,0,0,1.86,0,0,0,0,0,2
"880.193",1.07,0,0,0,0,0,0,0,0,0,1
"880.425",3.25,3.16,3.24,2.65,3.08,2.93,3.02,2.84,0,2.71,1
"892.931",0,0,0,0,0,0,0,0,0,1.34,1
"896.223",0,0,0,0,0,0,0,0,2.43,0,2
"898.434",6.34,6.71,7.63,8.45,4.12,8.79,6.55,5.24,5.91,0,1
"899.43",0,1.56,0,1.98,0,2.46,0,1.41,0,0,1
"907.469",0,1.2,0,0,0,0,0,0,0,0,1
"913.114",0,0,0,0,0,0,0,0,2.67,0,2
"952.041",0.88,0,0,0,0,0,0,0,0,0,1
"960.442",0,0,0,0,2.38,0,0,0,0,0,2
"961.455",0,0,0,0,1.74,0,0,0,0,0,2
