row,id,name,desc,rt.pct,rt,width,slice,stat,val
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,5.00,mw,msms,89.0
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,5.00,mw,apex,161351.70240000007
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,5.00,mw,annot,35.0
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,3.20,slot,msms,51.0
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,3.20,slot,apex,78141.2691
69820_100,69820,RR20121025_D1_elute_19,Velos Orbitrap,100.0,160.0,3.20,slot,annot,19.0
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,mw,msms,4.0
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,mw,apex,58464.2
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,mw,annot,0.0
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,slot,msms,4.0
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,slot,apex,58464.2
54803_0,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,0.0,0.0,5.00,slot,annot,0.0
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,mw,msms,33.0
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,mw,apex,3.7251703273E7
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,mw,annot,5.0
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,slot,msms,33.0
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,slot,apex,3.7251703273E7
54803_2,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,2.0,5.0,5.00,slot,annot,5.0
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,mw,msms,1.0
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,mw,apex,790458.6
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,mw,annot,1.0
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,slot,msms,1.0
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,slot,apex,790458.6
54803_4,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,4.0,10.0,5.00,slot,annot,1.0
