"","V1","V2","V3","V4"
"83",153.186,0,0,117.227210499205
"84",153.246,0,0,117.227210499205
"85",153.542,0,0,117.227210499205
"86",154.584,0,0,112.030984488177
"87",155.082,0,0,115.877479722202
"88",156.066,0,0,114.209405317246
"89",156.691,5699.05030775576,0,0
"90",156.969,0,0,117.227210499205
"91",157.351,0,0,117.227210499205
"92",158.092,706.446242743794,1464.11717431396,0
"93",159.112,0,1136.9826823933,34.4839072880658
"94",159.212,0,2640.25122146355,0
"95",161.195,0,0,117.227210499205
"96",162.367,0,0,117.227210499205
"97",165.818,0,2640.25122146355,0
"98",169.134,0,0,117.227210499205
"99",171.077,292.581178801274,1331.7935841944,13.7678147387997
"100",171.336,0,560.285429605941,72.1427182764757
"101",173.092,0,0,115.577707288698
"102",173.238,0,0,117.227210499205
"103",174.096,0,0,116.521612390965
"104",175.119,469.415890702664,1153.58765247696,21.7200897982203
"105",175.285,0,0,112.030984488177
"106",177.743,0,0,114.209405317246
"107",181.096,0,0,115.338825471664
"108",183.076,0,0,116.528218797941
"109",184.061,0,0,116.228206688452
"110",184.492,0,0,117.227210499205
"111",185.164,0,1136.9826823933,34.4839072880658
"112",185.846,0,1136.9826823933,34.4839072880658
"113",186.124,1191.16018131802,1740.38644684801,0
"114",187.111,462.462861891034,393.406274042732,72.3554995828411
"115",187.666,5699.05030775576,0,0
"116",189.088,0,1675.51799529613,0
"117",189.178,0,0,117.227210499205
"118",191.085,0,0,115.862624755622
"119",192.435,2347.20772177543,0,60.5328555257174
"120",193.793,0,0,117.227210499205
"121",194.813,0,0,117.227210499205
"122",197.129,0,88.5171896368666,103.237962410618
"123",198.088,0,2640.25122146355,0
"124",199.071,0,0,115.289311844608
"125",201.088,0,0,115.792343490569
"126",201.922,0,2640.25122146355,0
"127",202.089,0,0,115.53083386696
"128",204.834,0,0,114.209405317246
"129",206.162,0,1136.9826823933,34.4839072880658
"130",207.82,0,560.285429605941,72.1427182764757
"131",213.094,966.150671494744,379.196348577694,62.2802111742902
"132",214.155,0,0,116.125425973369
"133",215.139,3449.71313818796,140.925714008901,23.2587847668781
"134",216.853,0,0,117.227210499205
"135",217.082,0,0,114.273648946514
"136",217.278,0,2640.25122146355,0
"137",218.241,0,2640.25122146355,0
"138",219.082,0,0,116.450304761826
"139",220.098,1837.20440374169,1469.17702530222,0
"140",221.754,0,0,117.227210499205
"141",222.095,5699.05030775576,0,0
"142",222.378,0,0,117.227210499205
"143",224.14,0,0,113.652536167714
"144",225.134,0,2640.25122146355,0
"145",225.846,5699.05030775576,0,0
"146",226.115,0,560.285429605941,72.1427182764757
"147",230.114,955.54405313998,1839.2981182353,0
"148",231.477,0,0,117.227210499205
"149",235.147,5699.05030775576,0,0
"150",241.083,480.132653563918,1604.23136007633,0
"151",241.979,0,0,117.227210499205
"152",242.153,0,0,114.825174940477
"153",243.135,2376.84134247204,1242.63739083455,0
"154",244.092,0,2640.25122146355,0
"155",245.077,0,1785.27050427632,0
"156",245.425,0,0,117.227210499205
"157",246.181,276.227685619788,1256.98196862778,19.1079414414874
"158",246.908,0,0,114.209405317246
"159",247.108,160.720687866342,142.567763537148,95.8253573856295
"160",248.112,5699.05030775576,0,0
"161",248.626,0,0,117.227210499205
"162",249.161,3766.13630845985,0,28.1353361726361
"163",254.115,0,0,117.227210499205
"164",254.978,0,2640.25122146355,0
"165",257.73,0,0,117.227210499205
"166",258.112,618.959997526048,1237.26750480813,12.7378386764848
"167",259.097,0,2640.25122146355,0
"168",260.197,0,0,116.271630632604
"169",260.981,0,2640.25122146355,0
