type,spec,msid,m/z,zscore,ri,ai
msms,ai_devi_example,105615807,98.097,0.0,0,0
msms,ai_devi_example,105652140,98.097,0.0,0,0
msms,ai_devi_example,105630746,98.097,0.0,0,0
msms,ai_devi_example,105620706,98.097,0.0,0,0
msms,ai_devi_example,105616993,99.056,0.0,0,0
msms,ai_devi_example,105628430,99.056,0.0,0,0
msms,ai_devi_example,105626195,99.056,0.0,0,0
msms,ai_devi_example,105622773,99.056,0.5,1.28,402.01
msms,ai_devi_example,105599700,99.056,0.0,0,0
msms,ai_devi_example,105626405,99.056,0.0,0,0
msms,ai_devi_example,105615807,99.056,0.0,0,0
msms,ai_devi_example,105652140,99.056,0.0,0,0
msms,ai_devi_example,105630746,99.056,0.0,0,0
msms,ai_devi_example,105620706,99.056,0.0,0,0
msms,ai_devi_example,105616993,99.133,0.0,0,0
msms,ai_devi_example,105628430,99.133,0.0,0,0
msms,ai_devi_example,105626195,99.133,2.0,1.28,13803.35
msms,ai_devi_example,105622773,99.133,0.0,0,0
msms,ai_devi_example,105599700,99.133,0.0,0,0
msms,ai_devi_example,105626405,99.133,0.0,0,0
msms,ai_devi_example,105615807,99.133,0.0,0,0
msms,ai_devi_example,105652140,99.133,0.0,0,0
msms,ai_devi_example,105630746,99.133,0.0,0,0
msms,ai_devi_example,105620706,99.133,0.0,0,0
msms,ai_devi_example,105616993,99.507,0.0,0,0
msms,ai_devi_example,105628430,99.507,0.0,0,0
msms,ai_devi_example,105626195,99.507,0.0,0,0
msms,ai_devi_example,105622773,99.507,0.0,0,0
msms,ai_devi_example,105599700,99.507,0.5,0.77,372.88
msms,ai_devi_example,105626405,99.507,0.0,0,0
msms,ai_devi_example,105615807,99.507,0.0,0,0
msms,ai_devi_example,105652140,99.507,0.0,0,0
msms,ai_devi_example,105630746,99.507,0.0,0,0
msms,ai_devi_example,105620706,99.507,0.0,0,0
msms,ai_devi_example,105616993,100.325,0.5,1.55,312.62
msms,ai_devi_example,105628430,100.325,0.0,0,0
msms,ai_devi_example,105626195,100.325,0.0,0,0
msms,ai_devi_example,105622773,100.325,0.0,0,0
msms,ai_devi_example,105599700,100.325,0.0,0,0
msms,ai_devi_example,105626405,100.325,0.0,0,0
msms,ai_devi_example,105615807,100.325,0.0,0,0
msms,ai_devi_example,105652140,100.325,0.0,0,0
msms,ai_devi_example,105630746,100.325,0.0,0,0
msms,ai_devi_example,105620706,100.325,0.0,0,0
msms,ai_devi_example,105616993,101.071,-0.2,3.31,667.37
msms,ai_devi_example,105628430,101.071,1.5,16.02,6170.89
msms,ai_devi_example,105626195,101.071,0.0,0,0
msms,ai_devi_example,105622773,101.071,2.3,32.82,10284.50
msms,ai_devi_example,105599700,101.071,0.3,5.53,2664.23
msms,ai_devi_example,105626405,101.071,1.3,9.07,8850.60
msms,ai_devi_example,105615807,101.071,0.7,7.62,3985.98
msms,ai_devi_example,105652140,101.071,-0.8,3.54,16346.70
msms,ai_devi_example,105630746,101.071,1.5,24.05,4660.01
msms,ai_devi_example,105620706,101.071,-0.3,4.17,82130.04
msms,ai_devi_example,105616993,101.422,0.0,0,0
msms,ai_devi_example,105628430,101.422,0.0,0,0
msms,ai_devi_example,105626195,101.422,0.0,0,0
msms,ai_devi_example,105622773,101.422,0.0,0,0
msms,ai_devi_example,105599700,101.422,0.5,0.77,369.46
msms,ai_devi_example,105626405,101.422,0.0,0,0
msms,ai_devi_example,105615807,101.422,0.0,0,0
msms,ai_devi_example,105652140,101.422,0.0,0,0
msms,ai_devi_example,105630746,101.422,0.0,0,0
msms,ai_devi_example,105620706,101.422,0.0,0,0
msms,ai_devi_example,105616993,102.055,-0.7,32.45,6538.91
msms,ai_devi_example,105628430,102.055,-0.8,33.91,13060.14
msms,ai_devi_example,105626195,102.055,-0.4,42.34,456314.97
msms,ai_devi_example,105622773,102.055,-0.2,40.92,12825.30
msms,ai_devi_example,105599700,102.055,-1.4,30.12,14516.53
msms,ai_devi_example,105626405,102.055,-0.5,39.59,38618.31
msms,ai_devi_example,105615807,102.055,-1.2,32.49,16997.65
msms,ai_devi_example,105652140,102.055,-4.0,30.90,142752.95
msms,ai_devi_example,105630746,102.055,0.0,0,0
msms,ai_devi_example,105620706,102.055,-6.5,33.23,653722.44
msms,ai_devi_example,105616993,102.934,0.0,0,0
msms,ai_devi_example,105628430,102.934,0.5,0.84,325.12
msms,ai_devi_example,105626195,102.934,0.0,0,0
msms,ai_devi_example,105622773,102.934,0.0,0,0
msms,ai_devi_example,105599700,102.934,0.0,0,0
msms,ai_devi_example,105626405,102.934,0.0,0,0
msms,ai_devi_example,105615807,102.934,0.0,0,0
msms,ai_devi_example,105652140,102.934,0.0,0,0
msms,ai_devi_example,105630746,102.934,0.0,0,0
msms,ai_devi_example,105620706,102.934,0.0,0,0
msms,ai_devi_example,105616993,104.053,-0.1,3.66,738.09
msms,ai_devi_example,105628430,104.053,0.7,7.80,3004.73
msms,ai_devi_example,105626195,104.053,0.4,4.22,45526.05
msms,ai_devi_example,105622773,104.053,-0.2,3.26,1023.21
msms,ai_devi_example,105599700,104.053,-0.6,2.36,1136.73
msms,ai_devi_example,105626405,104.053,-0.9,2.32,2262.48
msms,ai_devi_example,105615807,104.053,0.2,4.57,2390.31
msms,ai_devi_example,105652140,104.053,-2.7,1.89,8753.54
msms,ai_devi_example,105630746,104.053,0.3,5.70,1105.05
msms,ai_devi_example,105620706,104.053,-2.2,2.92,57520.80
msms,ai_devi_example,105616993,105.368,0.0,0,0
msms,ai_devi_example,105628430,105.368,0.0,0,0
msms,ai_devi_example,105626195,105.368,0.0,0,0
msms,ai_devi_example,105622773,105.368,0.0,0,0
msms,ai_devi_example,105599700,105.368,0.0,0,0
msms,ai_devi_example,105626405,105.368,0.0,0,0
msms,ai_devi_example,105615807,105.368,0.0,0,0
msms,ai_devi_example,105652140,105.368,1.8,1.34,6171.00
msms,ai_devi_example,105630746,105.368,0.0,0,0
msms,ai_devi_example,105620706,105.368,0.0,0,0
msms,ai_devi_example,105616993,105.910,0.0,0,0
msms,ai_devi_example,105628430,105.910,0.0,0,0
msms,ai_devi_example,105626195,105.910,0.0,0,0
msms,ai_devi_example,105622773,105.910,0.0,0,0
msms,ai_devi_example,105599700,105.910,0.0,0,0
msms,ai_devi_example,105626405,105.910,0.0,0,0
msms,ai_devi_example,105615807,105.910,0.6,1.16,609.06
msms,ai_devi_example,105652140,105.910,0.0,0,0
msms,ai_devi_example,105630746,105.910,0.0,0,0
msms,ai_devi_example,105620706,105.910,0.0,0,0
msms,ai_devi_example,105616993,106.459,0.0,0,0
msms,ai_devi_example,105628430,106.459,0.0,0,0
msms,ai_devi_example,105626195,106.459,0.0,0,0
msms,ai_devi_example,105622773,106.459,0.0,0,0
msms,ai_devi_example,105599700,106.459,0.0,0,0
msms,ai_devi_example,105626405,106.459,0.0,0,0
msms,ai_devi_example,105615807,106.459,0.0,0,0
msms,ai_devi_example,105652140,106.459,0.0,0,0
msms,ai_devi_example,105630746,106.459,0.6,2.40,465.58
msms,ai_devi_example,105620706,106.459,0.0,0,0
msms,ai_devi_example,105616993,106.711,0.0,0,0
msms,ai_devi_example,105628430,106.711,0.0,0,0
msms,ai_devi_example,105626195,106.711,1.9,1.12,12028.43
msms,ai_devi_example,105622773,106.711,0.0,0,0
msms,ai_devi_example,105599700,106.711,0.0,0,0
msms,ai_devi_example,105626405,106.711,0.0,0,0
msms,ai_devi_example,105615807,106.711,0.0,0,0
msms,ai_devi_example,105652140,106.711,0.0,0,0
msms,ai_devi_example,105630746,106.711,0.0,0,0
msms,ai_devi_example,105620706,106.711,0.0,0,0
msms,ai_devi_example,105616993,107.049,0.0,0,0
msms,ai_devi_example,105628430,107.049,0.6,1.16,447.40
msms,ai_devi_example,105626195,107.049,0.0,0,0
msms,ai_devi_example,105622773,107.049,0.0,0,0
msms,ai_devi_example,105599700,107.049,0.0,0,0
msms,ai_devi_example,105626405,107.049,0.0,0,0
msms,ai_devi_example,105615807,107.049,0.0,0,0
msms,ai_devi_example,105652140,107.049,0.0,0,0
msms,ai_devi_example,105630746,107.049,0.0,0,0
msms,ai_devi_example,105620706,107.049,0.0,0,0
msms,ai_devi_example,105616993,107.292,0.0,0,0
msms,ai_devi_example,105628430,107.292,0.0,0,0
msms,ai_devi_example,105626195,107.292,0.0,0,0
msms,ai_devi_example,105622773,107.292,0.0,0,0
msms,ai_devi_example,105599700,107.292,0.0,0,0
msms,ai_devi_example,105626405,107.292,0.0,0,0
msms,ai_devi_example,105615807,107.292,0.0,0,0
msms,ai_devi_example,105652140,107.292,1.5,0.92,4233.27
msms,ai_devi_example,105630746,107.292,0.0,0,0
msms,ai_devi_example,105620706,107.292,0.0,0,0
msms,ai_devi_example,105616993,107.410,0.0,0,0
msms,ai_devi_example,105628430,107.410,0.0,0,0
msms,ai_devi_example,105626195,107.410,0.0,0,0
msms,ai_devi_example,105622773,107.410,0.0,0,0
msms,ai_devi_example,105599700,107.410,0.0,0,0
msms,ai_devi_example,105626405,107.410,0.0,0,0
msms,ai_devi_example,105615807,107.410,0.6,1.11,580.67
msms,ai_devi_example,105652140,107.410,0.0,0,0
msms,ai_devi_example,105630746,107.410,0.0,0,0
msms,ai_devi_example,105620706,107.410,0.0,0,0
msms,ai_devi_example,105616993,110.070,0.2,2.56,515.82
msms,ai_devi_example,105628430,110.070,0.7,4.52,1740.49
msms,ai_devi_example,105626195,110.070,0.3,1.68,18097.23
msms,ai_devi_example,105622773,110.070,1.2,9.06,2840.36
msms,ai_devi_example,105599700,110.070,0.0,0,0
msms,ai_devi_example,105626405,110.070,0.0,0,0
msms,ai_devi_example,105615807,110.070,0.0,0,0
msms,ai_devi_example,105652140,110.070,0.0,0,0
msms,ai_devi_example,105630746,110.070,1.1,12.20,2363.18
msms,ai_devi_example,105620706,110.070,-1.4,1.16,22856.08
msms,ai_devi_example,105616993,110.339,0.4,1.44,289.93
msms,ai_devi_example,105628430,110.339,0.0,0,0
msms,ai_devi_example,105626195,110.339,0.0,0,0
msms,ai_devi_example,105622773,110.339,0.0,0,0
msms,ai_devi_example,105599700,110.339,0.0,0,0
msms,ai_devi_example,105626405,110.339,0.0,0,0
msms,ai_devi_example,105615807,110.339,0.0,0,0
msms,ai_devi_example,105652140,110.339,0.0,0,0
msms,ai_devi_example,105630746,110.339,0.0,0,0
msms,ai_devi_example,105620706,110.339,0.0,0,0
msms,ai_devi_example,105616993,114.678,0.0,0,0
msms,ai_devi_example,105628430,114.678,0.0,0,0
msms,ai_devi_example,105626195,114.678,0.0,0,0
msms,ai_devi_example,105622773,114.678,0.0,0,0
msms,ai_devi_example,105599700,114.678,0.0,0,0
msms,ai_devi_example,105626405,114.678,0.0,0,0
msms,ai_devi_example,105615807,114.678,0.0,0,0
msms,ai_devi_example,105652140,114.678,1.6,1.07,4955.57
msms,ai_devi_example,105630746,114.678,0.0,0,0
msms,ai_devi_example,105620706,114.678,0.0,0,0
msms,ai_devi_example,105616993,114.967,0.0,0,0
msms,ai_devi_example,105628430,114.967,0.0,0,0
msms,ai_devi_example,105626195,114.967,0.0,0,0
msms,ai_devi_example,105622773,114.967,0.0,0,0
msms,ai_devi_example,105599700,114.967,0.5,0.65,311.01
msms,ai_devi_example,105626405,114.967,0.0,0,0
msms,ai_devi_example,105615807,114.967,0.0,0,0
msms,ai_devi_example,105652140,114.967,0.0,0,0
msms,ai_devi_example,105630746,114.967,0.0,0,0
msms,ai_devi_example,105620706,114.967,0.0,0,0
msms,ai_devi_example,105616993,115.087,0.0,0,0
msms,ai_devi_example,105628430,115.087,0.0,0,0
msms,ai_devi_example,105626195,115.087,0.0,0,0
msms,ai_devi_example,105622773,115.087,0.6,1.47,460.92
msms,ai_devi_example,105599700,115.087,0.0,0,0
msms,ai_devi_example,105626405,115.087,0.0,0,0
msms,ai_devi_example,105615807,115.087,0.0,0,0
msms,ai_devi_example,105652140,115.087,0.0,0,0
msms,ai_devi_example,105630746,115.087,0.0,0,0
msms,ai_devi_example,105620706,115.087,0.0,0,0
msms,ai_devi_example,105616993,115.244,0.0,0,0
